Quodlibet statistics - two bug opening 
Total nr of Hive-PLMgames processed:,216
White opening (player) - Black counter, Fraction of player wins, Fraction of player losses, Fraction of draws, Nr of games, List of games won, List of games lost, List of games drawn 
wL - bP,0.6666666666666666,0.6666666666666666,0.0,3,"HV-nevir-Quodlibet-2015-04-23-1514, HV-Dumbot-Quodlibet-2015-04-26-1732, ","T!HV-Jewdoka-Quodlibet-2018-09-16-2301, ",""
wL - bS,1.0,1.0,0.0,1,"T!HV-Jewdoka-Quodlibet-2018-09-15-0231, ","",""
wM - bL,0.5,0.5,0.16666666666666666,12,"T!HV-Eucalyx-Quodlibet-2016-08-13-0319, T!HV-Eucalyx-Quodlibet-2016-08-21-0119, HV-stepanzo-Quodlibet-2017-08-23-0235, T!HV-Eucalyx-Quodlibet-2017-05-21-0002, T!HV-Shark-Quodlibet-2018-05-06-1434, T!HV-ringersoll-Quodlibet-2018-05-20-2332, ","T!HV-stepanzo-Quodlibet-2017-08-18-0242, T!HV-Frasco92-Quodlibet-2017-06-04-2226, T!HV-jewdoka-Quodlibet-2018-05-30-0139, HV-Jewdoka-Quodlibet-2018-09-25-1638, ","T!HV-Eucalyx-Quodlibet-2016-08-13-0351, HV-alohajane-Quodlibet-2018-06-15-2332, "
wM - bM,0,0,0,0,"","",""
wM - bS,1.0,1.0,0.0,2,"HV-Jewdoka-Quodlibet-2019-09-15-2026, T!HV-Jewdoka-Quodlibet-2019-09-18-2331, ","",""
wP - bL,0.5833333333333334,0.5833333333333334,0.0,12,"T!HV-ewjimmy-Quodlibet-2015-07-06-2147, T!HV-Kobajagi-Quodlibet-2015-06-16-2059, T!HV-bluess-Quodlibet-2018-04-27-1726, T!HV-Eucalyx-Quodlibet-2019-08-03-0314, T!HV-Loizz-Quodlibet-2019-08-25-1706, T!HV-Loizz-Quodlibet-2019-09-08-1853, T!HV-VYCMajor-Quodlibet-2020-05-12-1522, ","T!HV-ewjimmy-Quodlibet-2015-07-02-1945, T!HV-ewjimmy-Quodlibet-2015-07-02-2044, T!HV-ewjimmy-Quodlibet-2015-07-06-2015, HV-Eucalyx-Quodlibet-2019-07-28-0305, T!HV-Loizz-Quodlibet-2019-09-08-1701, ",""
wP - bP,0.0,0.0,0.0,1,"","HV-tanksc-Quodlibet-2015-02-07-1458, ",""
wS - bL,1.0,1.0,0.0,3,"HV-Dumbot-Quodlibet-2016-01-30-2136, T!HV-dragonlord-Quodlibet-2016-06-03-1937, T!HV-Loizz-Quodlibet-2019-09-01-1648, ","",""

Player statistics for playing white 
Total nr games,wL,bL,bP,bG,bS,bB,bM
101,0.8712871287128713,0.7884615384615384,0.92,1.0,1.0,1.0,1.0
Total nr games,wA,bB,bL
3,0.3333333333333333,1.0,0.0
Total nr games,wM,bM,bL,bS
5,0.2,1.0,0.0, --
Total nr games,wG,bL,bG,bP
8,0.125,0.14285714285714285,0.0, --
Total nr games,wP,bL,bP
6,0.0,0.0,0.0

Player statistics for playing black 
Total nr games,bS,wM,wL
3,1.0,1.0,1.0
Total nr games,bP,wG,wL,wP
6,0.6666666666666666,1.0,0.6666666666666666,0.0
Total nr games,bL,wL,wG,wP,wM,wS,wA,wB
93,0.6559139784946236,0.7,0.65,0.5833333333333334,0.5,1.0,0.5,1.0
Total nr games,bG,wL,wG
3,0.3333333333333333,0.5,0.0
