Game Type:,Hive-PLM
TotNrGames:,194
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black wins, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
HV-Eucalyx-tanksc-2015-06-23-0845,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1wM-1+0wP-1-1bM+2+0wA1+0+0bP+1+0bA1+2-1wQ+0-1&title=HV-Eucalyx-tanksc-2015-06-23-0845%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Eucalyx-tanksc-2015-06-23-0845, ",""
HV-Eucalyx-tanksc-2015-06-23-0857,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP+1+0bQ+2-1wQ-1+0bA1-2+0wA1+0+0wB1+0+0&title=HV-Eucalyx-tanksc-2015-06-23-0857%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Eucalyx-tanksc-2015-06-23-0857, ",""
HV-Eucalyx-tanksc-2015-06-27-1332,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bA1+2-1wA1+1+2bM+2+0wG1+0+0wQ+0-1bP+1+0&title=HV-Eucalyx-tanksc-2015-06-27-1332%20::%20N:3%20whitewin:33%25%20blackwin:67%25%20draw:0%25,3,1,33.333333333333336,2,66.66666666666667,0,0.0,"HV-Eucalyx-tanksc-2015-06-27-1332, ","T!HV-Loizz-Eucalyx-2017-07-01-1154, HV-Loizz-Eucalyx-2018-07-08-2204, ",""
HV-tanksc-Eucalyx-2015-06-27-1407,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0+0bQ+1+1wA1-1+1bM+1+0wQ+0-1bA1+0-2wB1-1+0&title=HV-tanksc-Eucalyx-2015-06-27-1407%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-tanksc-Eucalyx-2015-06-27-1407, ","",""
U!HV-tanksc-Eucalyx-2015-06-24-0642,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1-1+0bL+1+0wQ+0-1bM+2+0wM-1+1bA1+1+1wL+0+0bQ+2-1&title=U!HV-tanksc-Eucalyx-2015-06-24-0642%20::%20N:2%20whitewin:50%25%20blackwin:0%25%20draw:50%25,2,1,50.0,0,0.0,1,50.0,"U!HV-tanksc-Eucalyx-2015-06-24-0642, ","","T!HV-stepanzo-Eucalyx-2016-07-24-0128, "
T!HV-Eucalyx-Kobajagi-2015-06-05-1326,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0wA1+3-2wQ+0-1bM+2+0bQ+2-1bA1+1+1bP+1+0&title=T!HV-Eucalyx-Kobajagi-2015-06-05-1326%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-Kobajagi-2015-06-05-1326, ","",""
T!HV-Eucalyx-Kobajagi-2015-06-05-1440,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bQ+1+1wA1-1+0wP+0-1bP+1+0wQ-1-1bG1-2+0&title=T!HV-Eucalyx-Kobajagi-2015-06-05-1440%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-Kobajagi-2015-06-05-1440, ","",""
T!HV-Kobajagi-Eucalyx-2015-06-05-1230,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM-1+0bQ+1+1bP+1+2wP+0+0bA1+2+0wS1-1+1bM+1+0wQ+0-1&title=T!HV-Kobajagi-Eucalyx-2015-06-05-1230%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Kobajagi-Eucalyx-2015-06-05-1230, ","",""
T!HV-Kobajagi-Eucalyx-2015-06-05-1342,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+2+0bQ+1+1bL+1+0wG1+0+0bP+2+1wQ+0-1wA1-1+1wP-1+0&title=T!HV-Kobajagi-Eucalyx-2015-06-05-1342%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Kobajagi-Eucalyx-2015-06-05-1342, ","",""
T!HV-aaronh-Eucalyx-2015-05-04-0326,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bA1+2+1wP+0+0wB1+0+1bQ+1+1bM+0+0&title=T!HV-aaronh-Eucalyx-2015-05-04-0326%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-aaronh-Eucalyx-2015-05-04-0326, ",""
T!HV-aaronh-Eucalyx-2015-05-04-0407,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wB1+0+0bB1+2+0wP+0+0bA1+2+1bQ+1+1bM+1+0&title=T!HV-aaronh-Eucalyx-2015-05-04-0407%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-aaronh-Eucalyx-2015-05-04-0407, ",""
T!HV-Eucalyx-aaronh-2015-05-04-0340,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP+1+0bS1+1-3wP+0-2wS1+0+0bQ+1+1wA1-1+0wQ+0-1&title=T!HV-Eucalyx-aaronh-2015-05-04-0340%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-aaronh-2015-05-04-0340, ","",""
T!HV-Eucalyx-aaronh-2015-05-04-0437,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1-1bM+2-1wQ+1-2bP+1+0wB1-1+0wG1+0+0&title=T!HV-Eucalyx-aaronh-2015-05-04-0437%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-aaronh-2015-05-04-0437, ","",""
T!HV-Eucalyx-Quodlibet-2016-08-13-0319,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP-1+0wM+0+0bL+1+0bA1-2+2bQ+1+1wA1-1+1wQ+0-1&title=T!HV-Eucalyx-Quodlibet-2016-08-13-0319%20::%20N:2%20whitewin:0%25%20blackwin:100%25%20draw:0%25,2,0,0.0,2,100.0,0,0.0,"","T!HV-Eucalyx-Quodlibet-2016-08-13-0319, T!HV-stepanzo-Eucalyx-2016-07-31-0247, ",""
T!HV-Eucalyx-Quodlibet-2016-08-13-0351,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bL+1+0wP+0-1wM+0+0bA1-2+1wA1-1+0bQ+1+1wQ+1-2&title=T!HV-Eucalyx-Quodlibet-2016-08-13-0351%20::%20N:1%20whitewin:0%25%20blackwin:0%25%20draw:100%25,1,0,0.0,0,0.0,1,100.0,"","","T!HV-Eucalyx-Quodlibet-2016-08-13-0351, "
T!HV-Quodlibet-Eucalyx-2016-08-13-0216,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM-2+0bA1+2-1wL+0+0wQ+0-1bM+2+0bL+1+0bQ+1+1wA1-1+0&title=T!HV-Quodlibet-Eucalyx-2016-08-13-0216%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Quodlibet-Eucalyx-2016-08-13-0216, ","",""
T!HV-Quodlibet-Eucalyx-2016-08-14-0208,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1-1+3wL+0+0bQ+1+1wQ+0-1bA1+0+2bP+1+0bA2+2-1&title=T!HV-Quodlibet-Eucalyx-2016-08-14-0208%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Quodlibet-Eucalyx-2016-08-14-0208, ",""
T!HV-Quodlibet-Eucalyx-2016-08-14-0251,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1-1+0wL+0+0wQ+0-1bQ+1+1bA1+0-2wS1-1+1bP+1+0&title=T!HV-Quodlibet-Eucalyx-2016-08-14-0251%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Quodlibet-Eucalyx-2016-08-14-0251, ",""
T!HV-Eucalyx-Quodlibet-2016-08-21-0119,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bA1+2-1bL+1+0bM+2+0wA1+1+2wQ+0-1wM+0+0&title=T!HV-Eucalyx-Quodlibet-2016-08-21-0119%20::%20N:6%20whitewin:67%25%20blackwin:17%25%20draw:17%25,6,4,66.66666666666667,1,16.666666666666668,1,16.666666666666668,"T!HV-Eucalyx-Jewdoka-2016-09-10-0158, T!HV-Eucalyx-Jewdoka-2016-08-28-0009, T!HV-Eucalyx-Loizz-2017-07-08-1205, T!HV-Eucalyx-Pseudomon-2017-05-26-1242, ","T!HV-Eucalyx-Quodlibet-2016-08-21-0119, ","T!HV-Eucalyx-Jewdoka-2017-08-18-2319, "
